month,year,drivers,kms,petrol,law
11,79,2016,15380,0.107698459,0
12,79,2207,15161,0.107601574,0
1,80,1665,14027,0.103775019,0
2,80,1361,14478,0.10711417,0
3,80,1506,16155,0.107374774,0
4,80,1360,16585,0.111695373,0
5,80,1453,18117,0.110638185,0
6,80,1522,17552,0.111855211,0
7,80,1460,18299,0.109742343,0
8,80,1552,19361,0.108193932,0
9,80,1548,17924,0.106255363,0
10,80,1827,17872,0.104193034,0
11,80,1737,16058,0.101933973,0
12,80,1941,15746,0.102793825,0
1,81,1474,15226,0.104760341,0
2,81,1458,14932,0.104002536,0
3,81,1542,16846,0.116655515,0
4,81,1404,16854,0.115161476,0
5,81,1522,18146,0.112989543,0
6,81,1385,17559,0.113860644,0
7,81,1641,18655,0.119118081,0
8,81,1510,19453,0.124489986,0
9,81,1681,17923,0.123222945,0
10,81,1938,17915,0.120677932,0
11,81,1868,16496,0.121048983,0
12,81,1726,13544,0.116968571,0
1,82,1456,13601,0.112750259,0
2,82,1445,15667,0.108079307,0
3,82,1456,17358,0.108838516,0
4,82,1365,18112,0.111291766,0
5,82,1487,18581,0.111304009,0
6,82,1558,18759,0.115454358,0
7,82,1488,20668,0.114768296,0
8,82,1684,21040,0.117207431,0
9,82,1594,18993,0.119076397,0
10,82,1850,18668,0.117965862,0
11,82,1998,16768,0.117449127,0
12,82,2079,16551,0.116988458,0
1,83,1494,16231,0.112610536,0
2,83,1057,15511,0.113657016,1
3,83,1218,18308,0.113144445,1
4,83,1168,17793,0.118495535,1
5,83,1236,19205,0.117969401,1
6,83,1076,19162,0.117686614,1
7,83,1174,20997,0.120059239,1
8,83,1139,20705,0.119437746,1
9,83,1427,18759,0.118881272,1
10,83,1487,19240,0.118462361,1
11,83,1483,17504,0.118016598,1
12,83,1513,16591,0.117706623,1
1,84,1357,16224,0.11777609,1
2,84,1165,16670,0.114796992,1
3,84,1282,18539,0.115735253,1
4,84,1110,19759,0.115356263,1
5,84,1297,19584,0.114815361,1
6,84,1185,19976,0.114777478,1
7,84,1222,21486,0.11493598,1
8,84,1284,21626,0.114796992,1
9,84,1444,20195,0.114093157,1
10,84,1575,19928,0.116465522,1
11,84,1737,18564,0.116026113,1
12,84,1763,18149,0.116066729,1
