,ID,Program.Code,From.Grade,To.Grade,Group.State,Is.Non.Annual.,Days,Travel.Type,Departure.Date,Return.Date,Deposit.Date,Special.Pay,Tuition,FRP.Active,FRP.Cancelled,FRP.Take.up.percent.,Early.RPL,Latest.RPL,Cancelled.Pax,Total.Discount.Pax,Initial.System.Date,Poverty.Code,Region,CRM.Segment,School.Type,Parent.Meeting.Flag,MDR.Low.Grade,MDR.High.Grade,Total.School.Enrollment,Income.Level,EZ.Pay.Take.Up.Rate,School.Sponsor,SPR.Product.Type,SPR.New.Existing,FPP,Total.Pax,SPR.Group.Revenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPP.to.School.enrollment,FPP.to.PAX,Num.of.Non_FPP.PAX,SchoolSizeIndicator,Retained.in.2012.,NPS 2011,NPS 2010,NPS 2009,NPS 2008,>= 3 FPP Date,>= 10 FPP Date,>= 20 FPP Date,>= 35 FPP Date,From.Grade_surrogate,To.Grade_surrogate,Special.Pay_surrogate,Early.RPL_surrogate,Latest.RPL_surrogate,Initial.System.Date_surrogate,Poverty.Code_surrogate,CRM.Segment_surrogate,MDR.Low.Grade_surrogate,MDR.High.Grade_surrogate,Total.School.Enrollment_surrogate,Income.Level_surrogate,FirstMeeting_surrogate,LastMeeting_surrogate,DifferenceTraveltoFirstMeeting_surrogate,DifferenceTraveltoLastMeeting_surrogate,FPP.to.School.enrollment_surrogate,SchoolSizeIndicator_surrogate,NPS 2011_surrogate,NPS 2010_surrogate,NPS 2009_surrogate,NPS 2008_surrogate,>= 3 FPP Date_surrogate,>= 10 FPP Date_surrogate,>= 20 FPP Date_surrogate,>= 35 FPP Date_surrogate
10,11,CD,8.0,8.0,FL,0,4,A,2011-02-07,2011-02-10,2010-09-30,FIXED_NA,999,47,1,0.5660000000000001,2010-09-02,2010-09-02,1,4,2010-03-31,FIXED_NA,Other,10.0,CHD,1,K,12.0,746.0,O,0.096,1,East Coast,EXISTING,83,87,999,1,2010-09-09,2010-09-09,151.0,151.0,Middle,Middle,Middle->Middle,February,K,High,K->High,C,1,0.111260054,0.954022989,4,M-L,1,0.0,10.0,10.0,0.0,2010-09-14,2010-09-21,2010-09-26,2010-09-28,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
11,12,HD,8.0,8.0,FL,0,4,A,2011-02-07,2011-02-10,2010-10-15,FIXED_NA,1388,32,0,0.8,2010-02-11,2010-08-20,0,5,2010-02-11,FIXED_NA,Other,10.0,CHD,1,PK,8.0,650.0,L,0.3,1,East Coast,EXISTING,40,45,1388,1,2010-09-14,2010-09-14,146.0,146.0,Middle,Middle,Middle->Middle,February,PK,Middle,PK->Middle,H,1,0.061538462,0.8888888890000001,5,M-L,1,8.0,8.0,0.0,8.0,2010-05-14,2010-05-24,2010-06-02,2010-09-30,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,13,HD,8.0,8.0,CA,0,6,A,2011-02-12,2011-02-17,2010-10-15,FIXED_NA,2278,10,6,0.455,2010-02-24,2010-08-27,6,1,2010-02-24,A,Northern California,5.0,PUBLIC,1,6,8.0,670.0,Q,0.136,0,East Coast,EXISTING,22,23,2278,1,2010-09-15,2010-09-15,150.0,150.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.032835821,0.956521739,1,M-L,1,10.0,10.0,0.0,0.0,2010-05-25,2010-06-01,2010-12-03,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
13,14,HD,8.0,8.0,CA,0,6,A,2011-02-12,2011-02-17,2010-10-09,FIXED_NA,2339,20,1,0.625,2010-03-01,2010-08-23,2,4,2010-02-27,B,Northern California,5.0,PUBLIC,1,6,8.0,750.0,L,0.125,0,East Coast,EXISTING,32,36,2339,1,2010-09-01,2010-09-01,164.0,164.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.042666667,0.8888888890000001,4,M-L,1,10.0,10.0,9.0,10.0,2010-04-02,2010-05-28,2010-09-02,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,15,HD,5.0,5.0,CA,0,6,A,2011-02-13,2011-02-18,2010-10-15,FIXED_NA,2235,21,1,0.636,2010-02-01,2010-08-31,2,4,2010-01-26,FIXED_NA,Northern California,7.0,PUBLIC,1,FIXED_NA,0.0,0.0,Other.Income.Level,0.091,0,East Coast,EXISTING,33,37,2235,1,2010-09-09,2010-09-09,157.0,157.0,Elementary,Elementary,Elementary->Elementary,February,Undefined,Undefined,Undefined->Undefined,H,1,0.0,0.8918918920000001,4,FIXED_NA,1,0.0,6.0,0.0,10.0,2010-09-21,2010-10-14,2010-10-14,1900-01-01,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
15,16,SG,8.0,8.0,VA,0,5,A,2011-02-15,2011-02-19,2010-10-15,FIXED_NA,1830,22,1,0.733,2010-04-15,2010-08-31,4,3,2010-04-14,B,Other,6.0,PUBLIC,1,6,8.0,753.0,I,0.16699999999999998,0,Science,EXISTING,30,33,1830,2,2010-04-28,2010-09-10,293.0,158.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,S,1,0.039840637000000005,0.9090909090000001,3,M-L,1,10.0,10.0,0.0,0.0,2010-05-05,2010-05-17,2010-05-26,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
16,17,SG,8.0,8.0,VA,0,5,A,2011-02-15,2011-02-19,2010-09-24,FIXED_NA,1805,16,4,0.552,2010-04-15,2010-08-31,5,2,2010-04-14,B,Other,6.0,PUBLIC,1,6,8.0,626.0,N,0.345,0,Science,EXISTING,29,31,1805,2,2010-04-24,2010-08-30,297.0,169.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,S,1,0.046325879,0.935483871,2,M-L,1,10.0,10.0,9.0,10.0,2010-05-05,2010-05-28,2010-06-01,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,18,SG,8.0,8.0,VA,0,5,A,2011-02-15,2011-02-19,2010-10-15,FIXED_NA,1880,5,1,0.556,2010-04-15,2010-09-02,1,1,2010-04-14,B,Other,7.0,PUBLIC,1,6,8.0,467.0,H,0.444,0,Science,EXISTING,9,10,1880,2,2010-05-04,2010-09-14,287.0,154.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,S,1,0.019271949,0.9,1,S-M,1,0.0,10.0,0.0,0.0,2010-05-25,1900-01-01,1900-01-01,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1
18,19,HD,8.0,8.0,IA,0,3,A,2011-02-16,2011-02-19,2010-10-15,FIXED_NA,1393,25,2,0.6579999999999999,2010-02-04,2010-08-23,3,3,2010-02-05,B,Other,10.0,PUBLIC,1,6,8.0,360.0,K,0.395,0,East Coast,EXISTING,38,41,1393,1,2010-09-02,2010-09-02,167.0,167.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.105555556,0.926829268,3,S-M,1,10.0,10.0,10.0,10.0,2010-03-22,2010-05-18,2010-05-25,2010-05-31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,HD,8.0,8.0,LA,0,4,A,2011-02-16,2011-02-19,2010-10-01,FIXED_NA,1271,33,9,0.733,2010-03-30,2010-10-05,9,5,2010-03-30,C,Other,1.0,PUBLIC,1,5,7.0,345.0,E,0.311,0,East Coast,NEW,45,50,1271,2,2010-04-21,2010-09-17,301.0,152.0,Middle,Middle,Middle->Middle,February,Elementary,Middle,Elementary->Middle,H,1,0.130434783,0.9,5,S-M,1,10.0,0.0,0.0,0.0,2010-04-22,2010-05-07,2010-05-12,2010-05-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
20,21,HD,8.0,8.0,MI,0,5,B,2011-02-16,2011-02-20,2010-10-15,FIXED_NA,812,34,5,0.45299999999999996,2010-02-11,2010-08-30,8,5,2010-02-10,B,Other,10.0,PUBLIC,1,6,8.0,664.0,M,0.213,0,East Coast,EXISTING,75,80,812,1,2010-09-14,2010-09-14,155.0,155.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.11295180699999999,0.9375,5,M-L,1,0.0,0.0,0.0,0.0,2010-05-03,2010-05-16,2010-05-31,2010-09-22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
21,22,SG,11.0,12.0,NY,1,7,A,2011-02-16,2011-02-22,2010-10-29,FIXED_NA,2785,13,2,0.619,2009-11-13,2010-09-13,2,2,2009-11-07,A,Other,6.0,PUBLIC,1,9,12.0,1693.0,P,0.28600000000000003,0,Science,EXISTING,21,23,2785,2,2010-09-23,2010-09-30,146.0,139.0,High,High,High->High,February,High,High,High->High,S,0,0.012404017,0.913043478,2,L,1,9.0,10.0,10.0,9.0,2009-12-29,2010-01-16,2010-10-27,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,23,HVP,7.0,7.0,NC,0,3,B,2011-02-17,2011-02-19,2010-10-15,FIXED_NA,386,56,9,0.359,1900-01-01,2010-08-23,8,7,2010-08-17,FIXED_NA,Other,7.0,PUBLIC,1,FIXED_NA,0.0,0.0,Other.Income.Level,0.17300000000000001,0,East Coast,NEW,156,163,386,1,2010-09-22,2010-09-22,148.0,148.0,Middle,Middle,Middle->Middle,February,Undefined,Undefined,Undefined->Undefined,H,1,0.0,0.957055215,7,FIXED_NA,1,8.0,0.0,0.0,0.0,2010-09-17,2010-09-22,2010-09-23,2010-09-26,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
23,24,HD,8.0,8.0,OH,0,3,B,2011-02-17,2011-02-20,2010-11-01,FIXED_NA,718,19,4,0.5,2010-03-03,2010-08-30,6,5,2010-03-02,A,Other,10.0,PUBLIC,1,6,8.0,760.0,N,0.105,0,East Coast,EXISTING,38,43,718,1,2010-09-02,2010-09-02,168.0,168.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.05,0.88372093,5,M-L,1,10.0,10.0,10.0,9.0,2010-05-13,2010-06-13,2010-09-22,2010-10-31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,25,HD,7.0,7.0,MN,0,4,A,2011-02-17,2011-02-20,2010-11-01,FR,1362,15,0,0.75,2010-03-04,2010-08-27,1,2,2010-03-04,C,Other,10.0,PUBLIC,1,7,8.0,641.0,K,0.2,0,East Coast,EXISTING,20,22,1362,1,2010-09-16,2010-09-16,154.0,154.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.031201247999999997,0.9090909090000001,2,M-L,1,0.0,0.0,0.0,10.0,2010-05-31,2010-09-17,2010-10-31,1900-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
25,26,HD,8.0,8.0,TX,0,4,A,2011-02-17,2011-02-20,2010-10-05,FIXED_NA,1629,53,4,0.747,2010-03-01,2010-08-30,4,5,2010-02-27,FIXED_NA,Dallas,5.0,CHD,1,PK,12.0,700.0,H,0.127,0,East Coast,EXISTING,71,76,1629,1,2010-09-10,2010-09-10,160.0,160.0,Middle,Middle,Middle->Middle,February,PK,High,PK->High,H,1,0.101428571,0.934210526,5,M-L,1,9.0,9.0,9.0,10.0,2010-03-18,2010-03-23,2010-04-11,2010-05-24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27,HD,8.0,8.0,Other.Group.State,0,4,A,2011-02-17,2011-02-21,2010-10-15,FIXED_NA,1899,9,1,0.818,2010-01-22,2010-09-15,0,1,2010-01-22,FIXED_NA,Other,5.0,Private non-Christian,1,PK,12.0,1300.0,P,0.182,0,East Coast,EXISTING,11,12,1899,1,2010-09-22,2010-09-22,148.0,148.0,Middle,Middle,Middle->Middle,February,PK,High,PK->High,H,1,0.008461538000000001,0.916666667,1,L,1,10.0,10.0,10.0,10.0,2010-04-22,2010-09-21,1900-01-01,1900-01-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
27,28,HD,8.0,8.0,MI,0,5,B,2011-02-18,2011-02-22,2010-10-29,FIXED_NA,662,50,3,0.27,2010-04-05,2010-09-13,5,12,2010-02-18,A,Other,5.0,PUBLIC,1,6,8.0,685.0,O,0.011000000000000001,0,East Coast,EXISTING,185,197,662,1,2010-09-27,2010-09-27,144.0,144.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.270072993,0.9390862940000001,12,M-L,1,10.0,10.0,10.0,10.0,2010-04-28,2010-05-06,2010-05-14,2010-05-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,29,HD,0.0,0.0,MI,0,4,B,2011-02-18,2011-02-22,2010-10-29,FIXED_NA,684,27,5,0.5,2010-04-20,2010-08-26,9,4,2010-03-22,A,Other,5.0,PUBLIC,1,6,8.0,702.0,Q,0.019,0,East Coast,EXISTING,54,58,684,2,2010-09-14,2010-09-23,157.0,148.0,Undefined,Undefined,Undefined->Undefined,February,Middle,Middle,Middle->Middle,H,0,0.076923077,0.931034483,4,M-L,1,9.0,9.0,0.0,0.0,2010-05-02,2010-05-21,2010-05-31,2010-09-28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
29,30,HD,0.0,0.0,MI,0,4,B,2011-02-18,2011-02-22,2010-10-29,FIXED_NA,677,39,1,0.52,2010-04-20,2010-08-17,4,6,2010-03-22,A,Other,5.0,PUBLIC,1,6,8.0,698.0,Q,0.107,0,East Coast,EXISTING,75,81,677,1,2010-10-07,2010-10-07,134.0,134.0,Undefined,Undefined,Undefined->Undefined,February,Middle,Middle,Middle->Middle,H,0,0.107449857,0.9259259259999999,6,M-L,1,10.0,9.0,9.0,9.0,2010-05-26,2010-05-31,2010-06-07,2010-09-27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,31,HD,8.0,8.0,MI,0,5,B,2011-02-18,2011-02-22,2010-10-01,FIXED_NA,726,27,1,0.5870000000000001,2010-03-15,2010-09-07,3,4,2010-03-12,A,Other,5.0,PUBLIC,1,6,8.0,604.0,Q,0.196,0,East Coast,EXISTING,46,50,726,2,2010-05-13,2010-09-21,281.0,150.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.07615894,0.92,4,M-L,1,10.0,10.0,9.0,10.0,2010-05-24,2010-06-01,2010-09-20,2010-09-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,32,HD,8.0,8.0,IL,0,3,A,2011-02-19,2011-02-21,2010-10-01,FIXED_NA,1115,78,5,0.7959999999999999,2010-04-08,2010-08-11,7,10,2010-01-27,A,Other,10.0,PUBLIC,0,6,8.0,597.0,Q,0.337,0,East Coast,EXISTING,98,108,1115,0,1900-01-01,1900-01-01,0.0,0.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.164154104,0.907407407,10,M-L,1,10.0,10.0,10.0,10.0,2010-04-20,2010-04-23,2010-04-30,2010-05-16,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
32,33,HD,8.0,8.0,OH,1,3,A,2011-02-19,2011-02-21,2010-10-15,FIXED_NA,1186,10,0,0.833,2010-02-11,2010-08-20,0,1,2010-02-11,FIXED_NA,Other,10.0,Catholic,0,K,8.0,500.0,J,0.0,0,East Coast,EXISTING,12,13,1186,0,1900-01-01,1900-01-01,0.0,0.0,Middle,Middle,Middle->Middle,February,K,Middle,K->Middle,H,1,0.024,0.923076923,1,S-M,1,10.0,0.0,9.0,10.0,2010-06-08,2010-10-08,1900-01-01,1900-01-01,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1
33,34,HD,7.0,8.0,IL,0,3,A,2011-02-19,2011-02-21,2010-10-23,FIXED_NA,999,12,0,0.857,2010-02-15,2010-08-27,0,2,2010-02-16,B,Other,10.0,PUBLIC,1,7,8.0,320.0,L,0.28600000000000003,0,East Coast,EXISTING,14,16,999,1,2010-09-14,2010-09-14,158.0,158.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,0,0.04375,0.875,2,S,1,10.0,0.0,9.0,10.0,2010-05-14,2010-06-15,1900-01-01,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
34,35,HD,8.0,8.0,IN,0,3,A,2011-02-19,2011-02-21,2010-10-20,FIXED_NA,1174,28,5,0.718,2010-03-03,2010-08-10,7,4,2010-03-02,A,Other,5.0,PUBLIC,1,7,8.0,794.0,P,0.308,0,East Coast,EXISTING,39,43,1174,1,2010-08-18,2010-08-18,185.0,185.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.049118388,0.9069767440000001,4,M-L,1,9.0,10.0,10.0,10.0,2010-05-11,2010-05-31,2010-09-21,2010-10-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,36,HD,8.0,8.0,IN,0,3,A,2011-02-19,2011-02-21,2010-10-20,FIXED_NA,1174,72,13,0.6859999999999999,2010-03-02,2010-08-10,15,7,2010-03-02,A,Other,5.0,PUBLIC,1,7,8.0,955.0,P,0.22899999999999998,0,East Coast,EXISTING,105,112,1174,1,2010-08-18,2010-08-18,185.0,185.0,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.109947644,0.9375,7,L,1,10.0,10.0,10.0,8.0,2010-03-22,2010-06-02,2010-05-18,2010-05-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
